"BnaA01g00520D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaA04g21750D"	"Yos1-like, GDP-fucose protein O-fucosyltransferase"
"BnaA04g21770D"	"Neutral/alkaline nonlysosomal ceramidase"
"BnaA04g21910D"	NA
"BnaA04g22020D"	NA
"BnaA04g22150D"	"Microtubule-associated protein, MAP65/Ase1/PRC1"
"BnaA04g23510D"	"SNF2-related, Helicase, C-terminal, Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type, Helicase, superfamily 1/2, ATP-binding domain"
"BnaA04g23520D"	"Translation initiation factor 1A (eIF-1A), RNA-binding domain, S1, IF1 type, Nucleic acid-binding, OB-fold"
"BnaA04g23680D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait, Nuclear envelope, Cut8"
"BnaA04g23690D"	"cAMP response element binding (CREB) protein, Basic-leucine zipper domain"
"BnaA04g24360D"	"Rhodanese-like domain"
"BnaA04g24370D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaA04g24420D"	NA
"BnaA04g24580D"	"Late embryogenesis abundant protein, LEA-3"
"BnaA04g24590D"	"PMR5 N-terminal domain, PC-Esterase"
"BnaA04g24630D"	"Lipase, class 3"
"BnaA04g24700D"	NA
"BnaA04g24790D"	"Pectinesterase, catalytic, Pectinesterase inhibitor, Pectin lyase fold/virulence factor, Pectin lyase fold, Pectinesterase, active site"
"BnaA04g24890D"	"UBX"
"BnaA04g25260D"	"Signal recognition particle, SRP14 subunit, Signal recognition particle, SRP9/SRP14 subunit"
"BnaA04g25480D"	"TPMT family"
"BnaA04g26100D"	"Thioredoxin, Thioredoxin-like fold, Thioredoxin domain, Thioredoxin, conserved site"
"BnaA04g26420D"	"Signal recognition particle, SRP54 subunit, GTPase domain, AAA+ ATPase domain, Signal-recognition particle receptor FtsY, Signal recognition particle, SRP54 subunit, helical bundle"
"BnaA04g26960D"	"AMP-dependent synthetase/ligase, AMP-binding, conserved site"
"BnaA04g27290D"	"Protein phosphatase 2C, manganese/magnesium aspartate binding site, Protein phosphatase 2C (PP2C)-like, Protein phosphatase 2C"
"BnaA04g27390D"	"Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain, Peptidyl-prolyl cis-trans isomerase, FKBP-type"
"BnaA04g27710D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait"
"BnaA04g27730D"	"Basic-leucine zipper domain"
"BnaA04g27990D"	"Galactose oxidase, beta-propeller"
"BnaA04g28030D"	"Seven-in-absentia protein, sina, TRAF-like, Zinc finger, RING/FYVE/PHD-type, SIAH-type domain, Seven-in-absentia protein, TRAF-like domain"
"BnaA04g28600D"	"Glutathione S-transferase, N-terminal, Glutathione S-transferase, C-terminal-like, Thioredoxin-like fold, Glutathione S-transferase/chloride channel, C-terminal"
"BnaA04g28670D"	"Aspartate/other aminotransferase, Aminotransferases, class-I, pyridoxal-phosphate-binding site, Aminotransferase, class I/classII, Pyridoxal phosphate-dependent transferase, major region, subdomain 1, Pyridoxal phosphate-dependent transferase"
"BnaA04g28690D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain, Armadillo repeat-containing protein 3 and Serine/threonine-protein kinase CTR1"
"BnaA04g28860D"	"GNAT domain, Acyl-CoA N-acyltransferase"
"BnaA04g28980D"	"Snf7"
"BnaA04g29030D"	NA
"BnaA04g29040D"	NA
"BnaA04g29060D"	"Ribosomal protein L36e"
"BnaA04g29200D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA04g29490D"	"Protein of unknown function DUF1817"
"BnaA05g00540D"	"Ribosomal RNA adenine methylase transferase, Ribosomal RNA adenine dimethylase, Ribosomal RNA adenine methylase transferase, conserved site, Ribosomal RNA adenine methylase transferase, N-terminal, 18S rRNA dimethylase DIM1"
"BnaA05g00670D"	"F-box domain, cyclin-like"
"BnaA05g00810D"	"Pectinesterase, catalytic, Pectinesterase inhibitor, Pectin lyase fold/virulence factor, Pectin lyase fold, Pectinesterase, active site"
"BnaA05g01080D"	"Cation efflux protein"
"BnaA05g01250D"	"Calcium-binding EF-hand, EF-hand-like domain, EF-Hand 1, calcium-binding site"
"BnaA05g01580D"	NA
"BnaA05g01870D"	NA
"BnaA05g01940D"	"Protein kinase-like domain"
"BnaA05g02060D"	NA
"BnaA05g02110D"	NA
"BnaA05g02120D"	"Six-bladed beta-propeller, TolB-like, Strictosidine synthase, conserved region"
"BnaA05g02330D"	"Pyridine nucleotide-disulphide oxidoreductase, class-II, Thioredoxin reductase, Pyridine nucleotide-disulphide oxidoreductase, class-II, active site, Thioredoxin-like fold, FAD-dependent pyridine nucleotide-disulphide oxidoreductase, Thioredoxin domain, Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain"
"BnaA05g02490D"	"Glycoside hydrolase, family 28, Parallel beta-helix repeat, Pectin lyase fold/virulence factor, Pectin lyase fold"
"BnaA05g02510D"	"Remorin, C-terminal"
"BnaA05g02750D"	NA
"BnaA05g02840D"	"Basic-leucine zipper domain"
"BnaA05g03070D"	"TPP-binding enzyme, conserved site, Thiamine pyrophosphate enzyme, C-terminal TPP-binding, Thiamine pyrophosphate enzyme, central domain, Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain, Acetolactate synthase, large subunit, biosynthetic"
"BnaA05g03080D"	"Citrate synthase-like, Citrate synthase-like, core, Citrate synthase-like, large alpha subdomain, Citrate synthase-like, small alpha subdomain, Citrate synthase active site"
"BnaA05g03170D"	"Pentatricopeptide repeat, Tetratricopeptide-like helical"
"BnaA05g03200D"	"Peptidase A1, Aspartic peptidase"
"BnaA05g03210D"	NA
"BnaA05g03250D"	"F-box associated domain, type 1, F-box associated interaction domain"
"BnaA05g03270D"	"Protein of unknown function DUF1685"
"BnaA05g03280D"	"Biotin synthase/Biotin biosynthesis bifunctional protein BioAB, Elongator protein 3/MiaB/NifB, Radical SAM, Biotin/thiamin synthesis-associated protein, Aldolase-type TIM barrel"
"BnaA05g03950D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA05g03960D"	"Protein N-terminal asparagine amidohydrolase"
"BnaA05g03970D"	"SANT/Myb domain, Homeodomain-like"
"BnaA05g04010D"	"Pyridine nucleotide-disulphide oxidoreductase, class-II, Pyridine nucleotide-disulphide oxidoreductase, NAD-binding domain, Pyridine nucleotide-disulphide oxidoreductase, class-II, active site, FAD-dependent pyridine nucleotide-disulphide oxidoreductase"
"BnaA05g04940D"	"BEACH domain, WD40 repeat, Concanavalin A-like lectin/glucanases superfamily, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, PH-BEACH domain"
"BnaA05g05590D"	"Hs1pro-1, C-terminal, Hs1pro-1, N-terminal"
"BnaA05g05750D"	"Zinc finger, LIM-type, Protein of unknown function DUF3633"
"BnaA05g05880D"	"AAA+ ATPase domain, ATPase, AAA-type, core, ATPase, AAA-type, conserved site, 26S proteasome subunit P45"
"BnaA05g05890D"	NA
"BnaA05g06000D"	"SAC3/GANP/Nin1/mts3/eIF-3 p25"
"BnaA05g06100D"	"RNA-binding S4 domain, Pseudouridine synthase, RsuA/RluB/C/D/E/F, Pseudouridine synthase, RsuA/RluB/E/F, conserved site, Pseudouridine synthase, catalytic domain"
"BnaA05g06290D"	"Calmodulin-binding domain, plant"
"BnaA05g06440D"	"SANT/Myb domain, Myb domain, plants, Homeodomain-like, Myb domain"
"BnaA05g06710D"	"Sphingomyelin synthase-like domain"
"BnaA05g06800D"	"Aldo/keto reductase, Aldo/keto reductase, conserved site, Aldo/keto reductase subgroup, NADP-dependent oxidoreductase domain"
"BnaA05g06970D"	"Histone H4, Histone core, Histone-fold, Histone H4, conserved site"
"BnaA05g07310D"	"Nucleic acid-binding, OB-fold, Replication factor A, C-terminal"
"BnaA05g07320D"	"Nucleic acid-binding, OB-fold"
"BnaA05g07790D"	"Phox/Bem1p, Cystathionine beta-synthase, core"
"BnaA05g07820D"	NA
"BnaA05g09090D"	"Tubulin, Beta tubulin, Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, C-terminal, Beta tubulin, autoregulation binding site, Tubulin, conserved site, Tubulin/FtsZ, 2-layer sandwich domain, Tubulin, C-terminal"
"BnaA05g09410D"	"Chlorophyll A-B binding protein, plant, Chlorophyll A-B binding protein, Chlorophyll a/b binding protein domain"
"BnaA05g09830D"	"Dormancyauxin associated"
"BnaA05g10610D"	NA
"BnaA05g10620D"	"Zinc finger, CCHC-type"
"BnaA05g10660D"	NA
"BnaA05g10670D"	NA
"BnaA05g11320D"	"Elongation factor, GTP-binding domain, Translation elongation factor EFTu/EF1A, C-terminal, Translation elongation factor EFTu/EF1A, domain 2, Translation elongation factor EF1A, eukaryotic/archaeal, Translation elongation/initiation factor/Ribosomal, beta-barrel, Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal"
"BnaA05g11340D"	"Smr protein/MutS2 C-terminal, Pentatricopeptide repeat, Tetratricopeptide-like helical"
"BnaA05g11470D"	"Aminoacyl-tRNA synthetase, class 1a, anticodon-binding, Rossmann-like alpha/beta/alpha sandwich fold, Cysteinyl-tRNA synthetase, class Ia, DALR, Cysteine-tRNA ligase, Cysteinyl-tRNA synthetase/mycothiol ligase"
"BnaA05g11520D"	"Myc-type, basic helix-loop-helix (bHLH) domain"
"BnaA05g11610D"	NA
"BnaA05g11710D"	"Aspartate/other aminotransferase, Aminotransferases, class-I, pyridoxal-phosphate-binding site, Aminotransferase, class I/classII, Pyridoxal phosphate-dependent transferase, major region, subdomain 1, Pyridoxal phosphate-dependent transferase"
"BnaA05g11820D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Tyrosine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA05g11960D"	NA
"BnaA05g12020D"	"Toll/interleukin-1 receptor homology (TIR) domain, Protein kinase, catalytic domain, Disease resistance protein, Leucine-rich repeat, NB-ARC, AAA+ ATPase domain, Protein kinase-like domain, Leucine-rich repeat 3, Calmodulin binding protein-like"
"BnaA05g12030D"	"Toll/interleukin-1 receptor homology (TIR) domain, Disease resistance protein, Leucine-rich repeat, NB-ARC, Leucine-rich repeat 3"
"BnaA05g12630D"	"Short-chain dehydrogenase/reductase SDR, Glucose/ribitol dehydrogenase, NAD(P)-binding domain"
"BnaA05g12790D"	"Aminotransferase, class I/classII, Tyrosine/nicotianamine aminotransferase, Pyridoxal phosphate-dependent transferase, major region, subdomain 1, Pyridoxal phosphate-dependent transferase, major region, subdomain 2, Pyridoxal phosphate-dependent transferase, Tyrosine transaminase"
"BnaA05g13640D"	"Photosystem I PsaG/PsaK protein, Photosystem I PsaG, plant, Photosystem I PsaG/PsaK domain"
"BnaA05g13850D"	"TAFII55 protein, conserved region"
"BnaA05g14100D"	"Remorin, C-terminal"
"BnaA05g14130D"	"Pectinesterase, catalytic, Pectinesterase inhibitor, Pectin lyase fold/virulence factor, Pectin lyase fold, Pectinesterase, active site"
"BnaA05g14190D"	"F-box domain, cyclin-like, F-box associated domain, type 3, F-box associated interaction domain"
"BnaA05g14670D"	"Transcription factor, SBP-box, Squamosa promoter-binding protein"
"BnaA05g15200D"	"Mannose-binding lectin"
"BnaA05g15730D"	NA
"BnaA05g16860D"	"Chlorophyll A-B binding protein, Chlorophyll a/b binding protein domain"
"BnaA05g17060D"	"Signal recognition particle, SRP54 subunit, GTPase domain, Signal recognition particle, SRP54 subunit, helical bundle"
"BnaA05g17340D"	"Endonuclease/exonuclease/phosphatase"
"BnaA05g18240D"	"B30.2/SPRY domain, SPla/RYanodine receptor SPRY, LisH dimerisation motif, CTLH, C-terminal LisH motif, Concanavalin A-like lectin/glucanases superfamily, CRA domain, SPla/RYanodine receptor subgroup, CTLH/CRA C-terminal to LisH motif domain"
"BnaA05g19380D"	"Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II"
"BnaA05g19450D"	"UDP-glucuronosyl/UDP-glucosyltransferase"
"BnaA05g20150D"	"WD40 repeat, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, WD40 repeat, conserved site, G-protein beta WD-40 repeat"
"BnaA05g20160D"	NA
"BnaA05g20180D"	"WD40 repeat, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, WD40 repeat, conserved site"
"BnaA05g20460D"	"F-box domain, cyclin-like, Kelch repeat type 1, Galactose oxidase, beta-propeller"
"BnaA05g20700D"	NA
"BnaA05g20940D"	"Domain of unknown function DUF239, Domain of unknown function DUF4409"
"BnaA05g21360D"	"Actin-related protein, Actin, conserved site, Actin/actin-like conserved site"
"BnaA05g22360D"	"Tify, CO/COL/TOC1, conserved site"
"BnaA05g23450D"	"2Fe-2S ferredoxin-type domain, Beta-grasp domain"
"BnaA05g24080D"	NA
"BnaA05g25460D"	"Ubiquitin-like protein Atg12"
"BnaA05g25770D"	"Amino acid/polyamine transporter I"
"BnaA05g25880D"	NA
"BnaA05g26040D"	"DnaJ domain"
"BnaA05g26090D"	"Glycoside hydrolase, family 1, Glycoside hydrolase, catalytic domain, Glycoside hydrolase, superfamily, Glycoside hydrolase, family 1, active site"
"BnaA05g26150D"	"Ribosomal protein S10, Ribosomal protein S10, conserved site"
"BnaA05g26180D"	"Cystathionine beta-synthase, core, Domain of unknown function DUF21, Transporter-associated domain, CO dehydrogenase flavoprotein-like, FAD-binding, subdomain 2"
"BnaA05g26270D"	"Ribosome-associated, Iojap-like, Oligomerisation domain"
"BnaA05g26470D"	"Methyladenine glycosylase, DNA glycosylase"
"BnaA05g26560D"	"Protein phosphatase 2C, manganese/magnesium aspartate binding site, Protein phosphatase 2C (PP2C)-like, Protein phosphatase 2C"
"BnaA05g26730D"	NA
"BnaA05g26870D"	"Leucine-rich repeat, Leucine-rich repeat-containing N-terminal, type 2, Leucine rich repeat 4"
"BnaA05g26930D"	"Tetraspanin/Peripherin"
"BnaA05g26970D"	NA
"BnaA05g27140D"	"Zinc finger, TRAF-type"
"BnaA05g27950D"	"Wound-induced protein, Wun1"
"BnaA05g29210D"	NA
"BnaA05g29390D"	"Chlorophyll A-B binding protein, plant, Chlorophyll A-B binding protein, Chlorophyll a/b binding protein domain"
"BnaA05g29720D"	"RNA recognition motif domain, Nucleotide-binding, alpha-beta plait"
"BnaA05g29930D"	"Kelch repeat type 1, Kelch-type beta propeller"
"BnaA05g29970D"	"UBA-like, Protein of unknown function DUF1296"
"BnaA05g30030D"	NA
"BnaA05g30310D"	NA
"BnaA05g30620D"	"Pectinesterase, catalytic, Pectinesterase inhibitor, Pectin lyase fold/virulence factor, Pectin lyase fold, Pectinesterase, active site"
"BnaA05g30990D"	"Dehydroquinase class I, Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase, Shikimate dehydrogenase, Shikimate dehydrogenase substrate binding, N-terminal, Aldolase-type TIM barrel, NAD(P)-binding domain, Shikimate, quinate/shikimate dehydrogenase"
"BnaA05g31170D"	"Dual specificity phosphatase, catalytic domain, Protein-tyrosine/Dual specificity phosphatase, Protein-tyrosine phosphatase, catalytic, Dual specificity phosphatase, subgroup, catalytic domain, Dual specificity phosphatase"
"BnaA05g31250D"	NA
"BnaA05g31340D"	"AMP-dependent synthetase/ligase, AMP-binding, conserved site"
"BnaA05g31390D"	NA
"BnaA05g31850D"	NA
"BnaA05g31880D"	"Yip1 domain"
"BnaA05g32190D"	"Zinc finger, DHHC-type, palmitoyltransferase"
"BnaA05g32300D"	"Cellulose synthase, Zinc finger, RING/FYVE/PHD-type"
"BnaA05g32560D"	"ASCH domain, PUA-like domain"
"BnaA05g32580D"	"Short-chain dehydrogenase/reductase SDR, Glucose/ribitol dehydrogenase, NAD(P)-binding domain, Polyketide synthase/Fatty acid synthase, KR, Short-chain dehydrogenase/reductase, conserved site"
"BnaA05g32630D"	"Transcription factor GRAS"
"BnaA05g32860D"	"Pentatricopeptide repeat, Tetratricopeptide-like helical"
"BnaA05g32920D"	"Aromatic amino acid beta-eliminating lyase/threonine aldolase, Pyridoxal phosphate-dependent transferase, major region, subdomain 1, Pyridoxal phosphate-dependent transferase, major region, subdomain 2, Pyridoxal phosphate-dependent transferase"
"BnaA05g32960D"	"DUF71 domain, YjgF/Yer057p/UK114 family, Endoribonuclease L-PSP/chorismate mutase-like, Rossmann-like alpha/beta/alpha sandwich fold"
"BnaA05g33050D"	"C2 calcium-dependent membrane targeting, C2 calcium/lipid-binding domain, CaLB, C2 membrane targeting protein"
"BnaA05g33310D"	"Zinc finger, CCCH-type"
"BnaA05g33330D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Concanavalin A-like lectin/glucanase, subgroup, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA05g33360D"	"NUDIX hydrolase domain, Isopentenyl-diphosphate delta-isomerase, type 1, NUDIX hydrolase domain-like"
"BnaA05g33420D"	"Forkhead-associated (FHA) domain, SMAD/FHA domain"
"BnaA05g33440D"	"Chaperonin TCP-1, conserved site, Chaperonin Cpn60/TCP-1, T-complex protein 1, zeta subunit, Chaperone, tailless complex polypeptide 1"
"BnaA05g33480D"	"Fatty acid hydroxylase"
"BnaA05g33490D"	"Phosphatidic acid phosphatase type 2/haloperoxidase, Phosphatidic acid phosphatase/chloroperoxidase, N-terminal"
"BnaA05g33500D"	"Fatty acid desaturase, type 2, Ferritin/ribonucleotide reductase-like, Ribonucleotide reductase-related"
"BnaA05g33510D"	"S-adenosylmethionine decarboxylase, S-adenosylmethionine decarboxylase, core, S-adenosylmethionine decarboxylase, conserved site, S-adenosylmethionine decarboxylase subgroup"
"BnaA05g33550D"	"Carboxylesterase, type B, Carboxylesterase type B, active site"
"BnaA05g33630D"	"Zinc finger, N-recognin, Zinc finger, N-recognin, metazoa, WD40/YVTN repeat-like-containing domain"
"BnaA05g33680D"	NA
"BnaA05g33850D"	"Methyl-CpG DNA binding, Zinc finger, PHD-type, FY-rich, N-terminal, FY-rich, C-terminal, Zinc finger, FYVE/PHD-type, Zinc finger, RING/FYVE/PHD-type, DNA-binding, integrase-type, Zinc finger, PHD-type, conserved site, Zinc finger, PHD-finger"
"BnaA05g33920D"	"Protein of unknown function DUF716, TMEM45"
"BnaA05g34090D"	"Domain of unknown function DUF221"
"BnaA05g34100D"	"Protein kinase, catalytic domain, Kinase associated domain 1 (KA1), Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Ubiquitin-associated/translation elongation factor EF1B, N-terminal, eukaryote, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA05g34130D"	"Glycosyl transferase, family 8"
"BnaA05g34180D"	"Peptidase S10, serine carboxypeptidase, Peptidase S10, serine carboxypeptidase, active site"
"BnaA05g34270D"	"Tetratricopeptide TPR-1, Tetratricopeptide-like helical, Thioredoxin-like fold, Tetratricopeptide repeat-containing domain, Thioredoxin domain, Tetratricopeptide repeat"
"BnaA05g34600D"	"Cation efflux protein"
"BnaA05g34630D"	"Photosystem II PsbP, oxygen evolving complex, Mog1/PsbP, alpha/beta/alpha sandwich"
"BnaA05g34870D"	"Aldo/keto reductase, Aldo/keto reductase, conserved site, Aldo/keto reductase subgroup, NADP-dependent oxidoreductase domain"
"BnaA05g34920D"	NA
"BnaA05g35130D"	"Pyrimidine 5-nucleotidase, HAD-like domain"
"BnaA05g35220D"	"Dienelactone hydrolase, Thiolase, active site"
"BnaA05g35350D"	"tRNAHis guanylyltransferase Thg1, tRNAHis guanylyltransferase catalytic domain, Thg1 C-terminal domain"
"BnaA05g37460D"	NA
"BnaA06g00010D"	"Ribosomal RNA methyltransferase FtsJ domain, Ribosomal RNA large subunit methyltransferase E"
"BnaA06g00030D"	"SANT/Myb domain, Myb domain, plants, Homeodomain-like, Myb domain, MYB-CC type transcription factor, LHEQLE-containing domain"
"BnaA06g00040D"	"START domain, START-like domain"
"BnaA06g00070D"	NA
"BnaA06g00080D"	"Sec63 domain, Translocation protein Sec63"
"BnaA06g00210D"	"Photosystem I PsaG/PsaK protein, Photosystem I PsaG, plant, Photosystem I PsaG/PsaK domain"
"BnaA06g00480D"	"Prenylated rab acceptor PRA1"
"BnaA06g00700D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Tyrosine-protein kinase, catalytic domain"
"BnaA06g00850D"	"Beta-lactamase-like"
"BnaA06g00900D"	"NAD-dependent epimerase/dehydratase, dTDP-4-dehydrorhamnose reductase, NAD(P)-binding domain"
"BnaA06g00930D"	NA
"BnaA06g00950D"	NA
"BnaA06g01030D"	NA
"BnaA06g01330D"	"Protein of unknown function DUF1677, plant"
"BnaA06g01370D"	NA
"BnaA06g01470D"	"NPH3 domain"
"BnaA06g01530D"	"WD40 repeat, WD40/YVTN repeat-like-containing domain, WD40-repeat-containing domain, WD40 repeat, conserved site"
"BnaA06g01690D"	"Domain of unknown function DUF4308"
"BnaA06g01890D"	"Peptidase S26B, eukaryotic signal peptidase, Peptidase S24/S26A/S26B/S26C, beta-ribbon domain, Peptidase S24/S26A/S26B/S26C, Peptidase S24/S26A/S26B"
"BnaA06g02200D"	NA
"BnaA06g02320D"	"RNA recognition motif domain, RNA-binding motif protein 8, Nucleotide-binding, alpha-beta plait"
"BnaA06g02330D"	"ABC transporter-like, AAA+ ATPase domain, ABC-2 type transporter, ABC transporter, conserved site"
"BnaA06g02440D"	"UDP-glucuronosyl/UDP-glucosyltransferase"
"BnaA06g02530D"	NA
"BnaA06g02600D"	"Phosphatidylinositol 3-/4-kinase, catalytic domain, Phosphoinositide 3-kinase, accessory (PIK) domain, Protein kinase-like domain, Phosphatidylinositol Kinase, Armadillo-type fold, Phosphatidylinositol 3/4-kinase, conserved site"
"BnaA06g02700D"	"Transcription factor GRAS"
"BnaA06g02740D"	"Cytochrome P450, Cytochrome P450, E-class, group I, Cytochrome P450, conserved site"
"BnaA06g02770D"	"Nitroreductase-like"
"BnaA06g02850D"	"Peptidase S9, prolyl oligopeptidase, catalytic domain, Peptidase S9A, prolyl oligopeptidase, Peptidase S9A/B/C, oligopeptidase, N-terminal beta-propeller, Peptidase S9A, oligopeptidase, N-terminal"
"BnaA06g02870D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA06g02880D"	"Thioredoxin, Thioredoxin-like fold, Thioredoxin domain"
"BnaA06g02990D"	"Cytochrome P450, Cytochrome P450, E-class, group I"
"BnaA06g03060D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Concanavalin A-like lectin/glucanase, subgroup, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA06g03100D"	"Aminoglycoside phosphotransferase, Methylthioribose kinase, Protein kinase-like domain"
"BnaA06g03320D"	NA
"BnaA06g03330D"	NA
"BnaA06g03380D"	NA
"BnaA06g03460D"	"Signal recognition particle, SRP54 subunit, GTPase domain, AAA+ ATPase domain, Signal recognition particle, SRP54 subunit, M-domain, Signal recognition particle, SRP54 subunit, eukaryotic, Signal recognition particle, SRP54 subunit, helical bundle, Signal recognition particle, SRP54 subunit"
"BnaA06g03510D"	"Zinc finger, HIT-type"
"BnaA06g03570D"	"GH3 auxin-responsive promoter"
"BnaA06g03780D"	NA
"BnaA06g04170D"	"Glyoxalase-like domain"
"BnaA06g04330D"	"Ribosomal protein L29, Ribosomal protein L47, mitochondrial"
"BnaA06g04420D"	"Thioredoxin-like fold, Thioredoxin domain"
"BnaA06g04500D"	"Protein of unknown function DUF707"
"BnaA06g04900D"	"Acyl-ACP thioesterase, Acyl-ACP-thioesterase, N-terminal"
"BnaA06g04940D"	"Violaxanthin de-epoxidase, Calycin-like, Calycin, Lipocalin conserved site"
"BnaA06g05010D"	NA
"BnaA06g05240D"	"Protein kinase, catalytic domain, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Serine/threonine-protein kinase, active site, Protein kinase-like domain, Protein kinase, ATP binding site, Tyrosine-protein kinase, catalytic domain"
"BnaA06g06110D"	"Zinc finger, CCCH-type, U2 auxiliary factor small subunit, Nucleotide-binding, alpha-beta plait"
"BnaA06g06290D"	"Haem peroxidase, animal, Haem peroxidase"
"BnaA06g06300D"	"Protein kinase, catalytic domain, Serine-threonine/tyrosine-protein kinase catalytic domain, Protein kinase-like domain, Tyrosine-protein kinase, catalytic domain"
"BnaA06g06350D"	"Leucine-rich repeat, ribonuclease inhibitor subtype"
"BnaA06g06380D"	"Peptidase C48, SUMO/Sentrin/Ubl1"
"BnaA06g06390D"	"GH3 auxin-responsive promoter"
"BnaA06g06640D"	"Protein of unknown function DUF3755"
"BnaA06g07110D"	NA
"BnaA06g07120D"	NA
"BnaA06g07350D"	"FAD linked oxidase, N-terminal, Berberine/berberine-like, FAD-binding, type 2, FAD-binding, type 2, subdomain 1, CO dehydrogenase flavoprotein-like, FAD-binding, subdomain 2"
"BnaA06g07360D"	"Prephenate dehydratase, ACT domain, Glyoxalase/fosfomycin resistance/dioxygenase domain, Glyoxalase I, Glycine cleavage T-protein, N-terminal, Glycine cleavage system T protein, Glycine cleavage T-protein, C-terminal barrel, Glyoxalase I, conserved site, Prephenate dehydratase, conserved site, GTP-binding protein TrmE/Glycine cleavage system T protein, domain 1"
"BnaA06g07510D"	NA
"BnaA06g07560D"	"Actin-related protein, Actin-related protein 3 (Arp3)"
"BnaA06g07650D"	"Peptidase T1A, proteasome beta-subunit, Proteasome, subunit alpha/beta, Proteasome, beta-type subunit, conserved site, Proteasome B-type subunit"
"BnaA06g07940D"	"Ribosomal protein S1, RNA-binding domain, Nucleic acid-binding, OB-fold, RNA-binding domain, S1"
"BnaA06g08060D"	"Isochorismate synthase"
"BnaA06g08120D"	"Protein kinase, catalytic domain, Leucine-rich repeat, Serine/threonine- / dual specificity protein kinase, catalytic  domain, Leucine-rich repeat, typical subtype, Protein kinase-like domain, Leucine-rich repeat-containing N-terminal, type 2, Tyrosine-protein kinase, catalytic domain, Leucine rich repeat 4"
"BnaA06g08130D"	"SNARE associated Golgi protein"
"BnaA06g08160D"	"ACT domain"
"BnaA06g08320D"	"Transaldolase, Aldolase-type TIM barrel"
"BnaA06g08370D"	"Phosphofructokinase domain, Pyrophosphate-dependent phosphofructokinase PfpB, Pyrophosphate-dependent phosphofructokinase, alpha-helical, Phosphofructokinase"
"BnaA06g08750D"	"RNA recognition motif domain, Nuclear transport factor 2, Nucleotide-binding, alpha-beta plait, Nuclear transport factor 2, Eukaryote"
"BnaA06g09000D"	"Zinc finger, RING-type, Zinc finger, RING/FYVE/PHD-type"
"BnaA06g09050D"	"CAAX amino terminal protease"
"BnaA06g09100D"	"Haloacid dehalogenase/epoxide hydrolase, HAD-superfamily hydrolase, subfamily IA, variant 1, HAD-superfamily hydrolase, subfamily IA, REG-2-like, HAD-like domain"
"BnaA06g09380D"	"Mitochondrial carrier protein, Mitochondrial substrate/solute carrier, Mitochondrial carrier domain"
"BnaA06g09520D"	"Oxoglutarate/iron-dependent dioxygenase"
"BnaA06g09590D"	"Membrane attack complex component/perforin (MACPF) domain"
"BnaA06g09650D"	"NUDIX hydrolase domain, NUDIX hydrolase domain-like, NUDIX hydrolase, conserved site"
